,Total_singletons,Sinlg_count_sum10,Sinlg_count_sum50
CHCC10541-GS815,55,12.0,4.0
CHCC10675-GS3471-167,82,63.0,52.0
CHCC11547-GS820-49,131,26.0,10.0
CHCC11553-GS816-84,17,7.0,6.0
CHCC11562-GS805-49,65,30.0,24.0
CHCC11563-GS802-50,35,9.0,2.0
CHCC11806-GS806-49,120,19.0,9.0
CHCC11877-GS807-49,27,10.0,8.0
CHCC12001-GS808J-54,25,2.0,1.0
CHCC12076-GS809-57,104,21.0,14.0
CHCC12087-GS810-64,38,8.0,3.0
CHCC12088-GS811-49,17,3.0,
CHCC13371-GS817-49,47,13.0,7.0
CHCC2289-PO35,33,7.0,3.0
CHCC3027-GS813-49,57,19.0,18.0
CHCC3370-GS818-49,23,11.0,9.0
CHCC4421-GS935-60,304,89.0,57.0
CHCC4433-GS981-66,88,15.0,5.0
CHCC5614-PO34,132,109.0,78.0
CHCC6052-GS489-31,29,5.0,3.0
CHCC6086-GS906-61,288,256.0,209.0
CHCC7249-GS982-66,57,7.0,4.0
CHCC9673-GS819,278,124.0,65.0
Il1403,135,,
Ll,136,,
