,ident80,ident80_n4,ident90,ident90_n7,core1copy_80_n4
CHCC10675-GS3471-167,0,0,0,0,14
CHCC11547-GS820-49,3,3,2,2,40
CHCC11553-GS816-84,0,0,0,0,0
CHCC11562-GS805-49,0,0,0,0,28
CHCC11563-GS802-50,1,1,1,1,15
CHCC11806-GS806-49,7,7,6,6,81
CHCC11877-GS807-49,0,0,0,0,0
CHCC12001-GS808J-54,0,0,0,0,0
CHCC12076-GS809-57,5,5,2,2,68
CHCC12087-GS810-64,0,0,0,0,0
CHCC12088-GS811-49,0,0,0,0,0
CHCC13371-GS817-49,0,0,0,0,4
CHCC2289-PO35,0,0,0,0,0
CHCC3027-GS813-49,1,1,1,1,2
CHCC3053-GS812-71,0,0,0,0,0
CHCC3370-GS818-49,0,0,0,0,1
CHCC4421-GS935-60,1,1,0,0,17
CHCC4433-GS981-66,4,4,4,4,116
CHCC5614-PO34,3,3,4,4,321
CHCC6052-GS489-31,0,0,0,0,1
CHCC6086-GS906-61,8,8,2,2,61
CHCC7249-GS982-66,0,0,0,0,0
